Day,Price,10MA,20MA,50MA,100MA,200MA
2357,114.9200,108.809,108.15,105.198,100.488,102.1177
2356,115.5700,107.99,107.858,104.8184,100.3823,102.1298
2355,111.7700,107.043,107.5405,104.4176,100.2774,102.14345
2354,107.9500,106.466,107.421,104.082,100.2165,102.17365
2353,105.4400,106.353,107.4975,103.8408,100.1967,102.22405
2352,103.1300,106.503,107.6345,103.644,100.2136,102.29125
2351,105.5200,106.947,107.8745,103.4694,100.2514,102.36435
2350,108.3600,107.198,107.9985,103.2308,100.271,102.43325
2349,107.7000,107.247,108.021,102.9044,100.2859,102.48535
2348,107.7300,107.328,108.0545,102.6184,100.3299,102.5333
2347,106.7300,107.491,108.042,102.3858,100.373,102.5631
2346,106.1000,107.726,107.999,102.1622,100.4101,102.600325
2345,106.0000,108.038,107.9835,101.9584,100.4393,102.631525
2344,106.8200,108.376,107.9075,101.7404,100.4659,102.680125
2343,106.9400,108.642,107.869,101.5106,100.4831,102.726575
2342,107.5700,108.766,107.7325,101.3228,100.5233,102.775725
2341,108.0300,108.802,107.571,101.1142,100.5457,102.840725
2340,108.8500,108.799,107.317,100.9028,100.5766,102.905875
2339,108.5100,108.795,106.708,100.6726,100.588,102.966225
2338,109.3600,108.781,106.1495,100.479,100.5928,103.033675
2337,109.0800,108.593,105.6145,100.2848,100.5948,103.099725
2336,109.2200,108.272,105.132,100.082,100.5808,103.160225
2335,109.3800,107.929,104.669,99.8782,100.5405,103.211625
2334,109.4800,107.439,104.1935,99.6632,100.5034,103.267375
2333,108.1800,107.096,103.711,99.432,100.4699,103.316325
2332,107.9300,106.699,103.241,99.2228,100.4553,103.348175
2331,108.0000,106.34,102.784,99.0334,100.4351,103.384925
2330,108.8100,105.835,102.2275,98.8706,100.4143,103.440325
2329,108.3700,104.621,101.658,98.7014,100.3842,103.473775
2328,107.4800,103.518,101.0885,98.5422,100.3602,103.500725
2327,105.8700,102.636,100.5485,98.385,100.3312,103.532175
2326,105.7900,101.992,100.052,98.2256,100.2977,103.561475
2325,104.4800,101.409,99.539,98.0384,100.2624,103.587725
2324,106.0500,100.948,99.0645,97.8532,100.2293,103.624625
2323,104.2100,100.326,98.5565,97.6162,100.18,103.645425
2322,104.3400,99.783,98.126,97.4232,100.1482,103.683325
2321,102.9500,99.228,97.629,97.2062,100.1235,103.719625
2320,96.6700,98.62,97.161,97.0248,100.1241,103.765475
2319,97.3400,98.695,96.9295,96.9018,100.1724,103.829625
2318,98.6600,98.659,96.7325,96.7618,100.2065,103.896825
2317,99.4300,98.461,96.6045,96.6388,100.2252,103.960075
2316,99.9600,98.112,96.4105,96.5186,100.1978,104.016825
2315,99.8700,97.669,96.208,96.3752,100.1673,104.068925
2314,99.8300,97.181,95.9695,96.2322,100.1362,104.117475
2313,98.7800,96.787,95.7445,96.1004,100.0989,104.169825
2312,98.7900,96.469,95.683,96.0086,100.058,104.221225
2311,96.8700,96.03,95.6005,95.9364,100.0389,104.289475
2310,97.4200,95.702,95.63,95.8718,100.0306,104.378675
2309,96.9800,95.164,95.626,95.7982,100.019,104.466575
2308,96.6800,94.806,95.7185,95.7552,100.0304,104.553275
2307,95.9400,94.748,95.867,95.778,100.03,104.636875
2306,95.5300,94.709,96.017,95.9462,100.0105,104.733225
2305,94.9900,94.747,96.192,96.1372,99.9922,104.822825
2304,95.8900,94.758,96.374,96.351,99.985,104.917475
2303,95.6000,94.702,96.4755,96.5526,99.976,105.020075
2302,94.4000,94.897,96.5815,96.7832,99.9701,105.123475
2301,93.5900,95.171,96.7845,97.0334,99.9663,105.228025
2300,92.0400,95.558,97.098,97.3112,99.9964,105.331125
2299,93.4000,96.088,97.5135,97.6674,100.0395,105.433775
2298,96.1000,96.631,97.864,98.0414,100.0503,105.517525
2297,95.5500,96.986,98.04,98.3602,100.0536,105.598575
2296,95.9100,97.325,98.1575,98.658,100.0715,105.667175
2295,95.1000,97.637,98.1835,98.9202,100.0533,105.739475
2294,95.3300,97.99,98.1895,99.1914,100.0365,105.825675
2293,97.5500,98.249,98.133,99.4556,100.0831,105.887625
2292,97.1400,98.266,97.9835,99.7238,100.102,105.963675
2291,97.4600,98.398,97.801,99.9772,100.1448,106.044425
2290,97.3400,98.638,97.622,100.2504,100.1332,106.121725
2289,98.8300,98.939,97.281,100.5034,100.1277,106.183475
2288,99.6500,99.097,96.8565,100.7066,100.106,106.208025
2287,98.9400,99.094,96.4995,100.9048,100.0808,106.225375
2286,99.0300,98.99,96.2235,101.0796,100.0866,106.259475
2285,98.6300,98.73,95.9115,101.2028,100.0702,106.327575
2284,97.9200,98.389,95.616,101.3436,100.0835,106.409475
2283,97.7200,98.017,95.382,101.5078,100.0896,106.502375
2282,98.4600,97.701,95.2055,101.6878,100.082,106.599575
2281,99.8600,97.204,95.0415,101.8368,100.0619,106.687075
2280,100.3500,96.606,94.7305,101.958,100.0703,106.763525
2279,100.4100,95.623,94.4,102.067,100.0939,106.837975
2278,99.6200,94.616,94.121,102.1782,100.1433,106.903375
2277,97.9000,93.905,94.031,102.2774,100.1997,107.003875
2276,96.4300,93.457,94.3535,102.3698,100.2939,107.091975
2275,95.2200,93.093,94.786,102.4864,100.417,107.185475
2274,94.2000,92.843,95.309,102.6054,100.533,107.286375
2273,94.5600,92.747,95.8975,102.7438,100.6713,107.388575
2272,93.4900,92.71,96.526,102.8732,100.8118,107.507975
2271,93.8800,92.879,97.197,103.0408,100.9492,107.647025
2270,90.5200,92.855,97.877,103.2234,101.0837,107.789475
2269,90.3400,93.177,98.8435,103.443,101.2388,107.951825
2268,92.5100,93.626,99.9315,103.6512,101.4252,108.117025
2267,93.4200,94.157,100.908,103.8116,101.6135,108.268325
2266,92.7900,95.25,101.759,103.877,101.7842,108.423725
2265,92.7200,96.479,102.5705,103.9594,101.9811,108.585575
2264,93.2400,97.775,103.3675,104.0402,102.1857,108.748075
2263,94.1900,99.048,104.1325,104.0974,102.415,108.935625
2262,95.1800,100.342,104.971,104.1074,102.6293,109.125025
2261,93.6400,101.515,105.7025,104.1414,102.8598,109.297225
2260,93.7400,102.899,106.5765,104.1894,103.1062,109.471575
2259,94.8300,104.51,107.389,104.2398,103.3591,109.636975
2258,97.8200,106.237,108.097,104.3056,103.5628,109.790875
2257,104.3500,107.659,108.684,104.282,103.7474,109.930075
2256,105.0800,108.268,108.8505,104.0748,103.8773,110.024725
2255,105.6800,108.662,108.856,103.8472,104.0095,110.099675
2254,105.9700,108.96,108.8555,103.619,104.1308,110.184125
2253,107.1300,109.217,108.8635,103.3994,104.2514,110.282725
2252,106.9100,109.6,108.843,103.157,104.3689,110.377075
2251,107.4800,109.89,108.793,102.8992,104.4773,110.474725
2250,109.8500,110.254,108.715,102.6816,104.5955,110.570325
2249,112.1000,110.268,108.5125,102.4116,104.6848,110.6482
2248,112.0400,109.957,108.206,102.0592,104.7367,110.71035
2247,110.4400,109.709,107.833,101.747,104.7532,110.7839
2246,109.0200,109.433,107.437,101.485,104.79055,110.8692
2245,108.6600,109.05,107.099,101.1864,104.82375,110.96465
2244,108.5400,108.751,106.7245,100.8816,104.89435,111.0565
2243,110.9600,108.51,106.3535,100.7106,104.97005,111.15185
2242,109.8100,108.086,105.857,100.4802,105.02815,111.23005
2241,111.1200,107.696,105.46,100.3124,105.13575,111.3204
2240,109.9900,107.176,105.0545,100.016,105.23515,111.4013
2239,108.9900,106.757,104.63,99.752,105.34445,111.48935
2238,109.5600,106.455,104.218,99.5054,105.47455,111.579
2237,107.6800,105.957,103.7665,99.2568,105.60465,111.66705
2236,105.1900,105.441,103.217,99.0936,105.73965,111.7716
2235,105.6700,105.148,102.803,98.9376,105.88275,111.89005
2234,106.1300,104.698,102.3575,98.8234,106.03135,111.9988
2233,106.7200,104.197,101.856,98.6714,106.16275,112.10715
2232,105.9100,103.628,101.2545,98.4762,106.24105,112.2168
2231,105.9200,103.224,100.803,98.287,106.33475,112.33405
2230,105.8000,102.933,100.309,98.1826,106.46635,112.45505
2229,105.9700,102.503,99.832,98.1208,106.56335,112.57585
2228,104.5800,101.981,99.4395,98.1084,106.64125,112.698675
2227,102.5200,101.576,99.0425,98.122,106.73315,112.827175
2226,102.2600,100.993,98.616,98.218,106.82525,112.973475
2225,101.1700,100.458,98.188,98.3476,106.91305,113.1224
2224,101.1200,100.017,97.843,98.4606,107.01995,113.26465
2223,101.0300,99.515,97.5365,98.5988,107.11085,113.42175
2222,101.8700,98.881,97.2355,98.7504,107.21845,113.57355
2221,103.0100,98.382,96.843,98.8576,107.31575,113.7145
2220,101.5000,97.685,96.5225,98.944,107.40685,113.8498
2219,100.7500,97.161,96.265,99.0346,107.48685,113.99325
2218,100.5300,96.898,95.9515,99.1992,107.58715,114.13335
2217,96.6900,96.509,95.7465,99.4154,107.69495,114.27545
2216,96.9100,96.239,95.779,99.6914,107.83585,114.42205
2215,96.7600,95.918,95.638,100.0028,107.97055,114.566825
2214,96.1000,95.669,95.471,100.3312,108.09875,114.714625
2213,94.6900,95.558,95.6655,100.7326,108.24075,114.872225
2212,96.8800,95.59,95.903,101.1512,108.38445,115.025075
2211,96.0400,95.304,96.13,101.5782,108.54005,115.165725
2210,96.2600,95.36,96.143,102.023,108.72675,115.314525
2209,98.1200,95.369,96.1695,102.4784,108.91415,115.476725
2208,96.6400,95.005,96.0965,102.82,109.07615,115.630875
2207,93.9900,94.984,96.121,103.2128,109.24375,115.773425
2206,93.7000,95.319,96.3975,103.6798,109.45595,115.946675
2205,94.2700,95.358,96.582,104.1718,109.65345,116.130975
2204,94.9900,95.273,96.8665,104.6426,109.84995,116.322875
2203,95.0100,95.773,97.0435,105.1034,110.06415,116.499325
